School_ID,Safety_Icon,Safety_Score,Environment_Icon,Environment_Score,CPS_Performance_Policy_Status,CPS_Performance_Policy_Level,Healthy_Schools_Certified,Adequate_Yearly_Progress_Made,Individualized_Education_Program_Compliance_Rate
610026.0,Strong,64,Average,49,Not on Probation,Level 1,No,,
610027.0,Average,52,Average,42,Not on Probation,Level 2,No,,
610028.0,Very Weak,19,Weak,22,Probation,Level 3,No,,
610029.0,Average,55,Weak,39,Not on Probation,Level 2,No,,
610030.0,Weak,36,Weak,35,Probation,Level 3,No,,
610031.0,Average,44,Average,43,Probation,Level 3,No,,
610032.0,Weak,32,Average,47,Not on Probation,Level 1,No,,
610033.0,Very Strong,99,Strong,62,Not on Probation,Level 1,No,,
610034.0,NDA,,NDA,,Probation,Level 3,No,,
610036.0,Weak,21,Weak,36,Probation,Level 3,No,,
610037.0,Weak,36,Strong,60,Probation,Level 3,No,,
610038.0,Very Strong,99,Strong,74,Not on Probation,Level 1,Yes,,
610039.0,Strong,68,Strong,66,Not on Probation,Level 1,No,,
610040.0,NDA,,NDA,,Probation,Level 3,No,,
610041.0,Average,57,Average,49,Not on Probation,Level 1,No,,
610043.0,Average,43,Weak,32,Probation,Level 2,No,,
610044.0,Weak,39,Weak,39,Probation,Level 2,No,,
610045.0,Very Weak,19,Average,40,Probation,Level 3,No,,
610046.0,Average,55,Average,42,Not on Probation,Level 2,No,,
610047.0,Weak,39,Weak,32,Probation,Level 2,No,,
610048.0,Average,43,Average,49,Probation,Level 3,No,,
610051.0,Weak,34,Very Weak,17,Probation,Level 3,No,,
610052.0,Weak,28,Weak,31,Probation,Level 3,No,,
610053.0,Very Weak,15,Very Weak,17,Probation,Level 3,No,,
610054.0,Strong,72,Average,53,Probation,Level 2,No,,
610055.0,Weak,35,Strong,65,Not on Probation,Level 2,No,,
610056.0,Weak,37,Average,44,Probation,Level 3,No,,
610057.0,Weak,31,Average,41,Probation,Level 3,No,,
610058.0,Average,42,Average,47,Probation,Level 3,No,,
610059.0,Strong,67,Weak,35,Not on Probation,Level 2,No,,
610060.0,Very Strong,86,Average,57,Not on Probation,Level 1,No,,
610061.0,Average,52,Strong,62,Not on Probation,Level 2,No,,
610062.0,Average,49,Weak,33,Probation,Level 2,No,,
610063.0,NDA,,NDA,,Not on Probation,Level 1,Yes,,
610065.0,Weak,31,Average,47,Probation,Level 3,No,,
610066.0,Very Strong,99,Average,57,Not on Probation,Level 1,No,,
610067.0,Weak,23,Weak,37,Probation,Level 3,No,,
610068.0,Weak,35,Weak,34,Not on Probation,Level 2,No,,
610070.0,Strong,71,Average,48,Not on Probation,Level 2,No,,
610072.0,Weak,28,Average,58,Probation,Level 3,No,,
610073.0,Very Strong,99,Very Strong,95,Not on Probation,Level 1,No,,
610074.0,Average,45,Weak,26,Probation,Level 2,No,,
