School_ID,College_Eligibility,Graduation_Rate,College_Enrollment_Rate,College_Enrollment_number_of_students,Freshman_on_Track_Rate
610252,NDA,NDA,NDA,250,NDA
610253,NDA,NDA,NDA,83,NDA
610254,NDA,NDA,NDA,556,NDA
610256,NDA,NDA,NDA,140,NDA
610257,NDA,NDA,NDA,349,NDA
610258,NDA,NDA,NDA,112,NDA
610263,NDA,NDA,NDA,537,NDA
610264,NDA,NDA,NDA,44,NDA
610265,NDA,NDA,NDA,302,NDA
610266,NDA,NDA,NDA,381,NDA
610268,NDA,NDA,NDA,459,NDA
610269,NDA,NDA,NDA,355,NDA
610271,NDA,NDA,NDA,364,NDA
610273,NDA,NDA,NDA,130,NDA
610274,NDA,NDA,NDA,365,NDA
610276,NDA,NDA,NDA,244,NDA
610277,NDA,NDA,NDA,436,NDA
610279,NDA,NDA,NDA,448,NDA
610280,NDA,NDA,NDA,26,NDA
610281,NDA,NDA,NDA,521,NDA
610282,NDA,NDA,NDA,422,NDA
610283,NDA,NDA,NDA,291,NDA
610284,NDA,NDA,NDA,696,NDA
610285,NDA,NDA,NDA,402,NDA
610287,NDA,NDA,NDA,490,NDA
610290,NDA,NDA,NDA,301,NDA
610291,NDA,NDA,NDA,832,NDA
610293,NDA,NDA,NDA,315,NDA
610295,NDA,NDA,NDA,369,NDA
610297,12.2,36.6,68.8,731,48.8
610298,NDA,NDA,NDA,328,NDA
610299,NDA,NDA,NDA,321,NDA
610300,NDA,NDA,NDA,413,NDA
610304,33.9,74.8,51.3,461,74.1
610305,NDA,NDA,NDA,182,NDA
610308,NDA,NDA,NDA,100,NDA
610312,NDA,NDA,NDA,188,NDA
610313,NDA,NDA,NDA,869,NDA
610315,NDA,NDA,NDA,138,NDA
610316,NDA,NDA,NDA,264,NDA
610317,NDA,NDA,NDA,691,NDA
610319,NDA,NDA,NDA,389,NDA
610320,NDA,NDA,NDA,114,NDA
610321,NDA,NDA,NDA,435,NDA
610323,16.7,67.2,52.4,701,62.1
610325,NDA,NDA,NDA,941,NDA
610329,NDA,NDA,NDA,636,NDA
610334,13.5,72.2,64.2,551,74.3
610336,NDA,NDA,NDA,125,NDA
610339,NDA,NDA,NDA,539,NDA
610340,23.9,70.1,64.2,502,80.6
610342,NDA,NDA,NDA,620,NDA
610345,NDA,NDA,NDA,329,NDA
610347,NDA,NDA,NDA,531,NDA
610348,NDA,NDA,NDA,268,NDA
610350,NDA,NDA,NDA,474,NDA
610352,NDA,NDA,NDA,543,NDA
610353,NDA,NDA,NDA,792,NDA
610354,NDA,NDA,NDA,359,NDA
610355,NDA,NDA,NDA,257,NDA
610357,35,73.7,65.2,205,92.8
610362,NDA,NDA,NDA,367,NDA
610363,NDA,NDA,NDA,1651,NDA
610364,NDA,NDA,NDA,184,NDA
610365,NDA,NDA,NDA,362,NDA
610366,NDA,NDA,NDA,246,NDA
610367,NDA,NDA,NDA,524,NDA
610368,NDA,NDA,NDA,424,NDA
610369,NDA,NDA,NDA,323,NDA
610380,32.7,NDA,NDA,324,90.1
610381,14.7,85.3,73.2,550,71.1
610383,14.9,67,57.4,371,87.4
610384,29,84.4,55.7,388,98.1
610385,21.1,58,58.5,324,78.7
610389,5.8,NDA,51.9,831,59.5
610390,23.4,63,63.5,423,90.7
610391,29.1,68.9,85.9,916,83.3
610392,14.6,69.4,48.1,382,76
610394,19.6,62.4,65,473,91.4
610395,NDA,NDA,NDA,269,NDA
610396,NDA,NDA,NDA,1070,NDA
610402,40.6,NDA,63.3,200,NDA
610405,NDA,NDA,NDA,351,NDA
610499,20.5,NDA,NDA,409,70.4
610501,8.5,NDA,NDA,250,56.1
610502,37.7,NDA,NDA,366,86.3
610503,NDA,NDA,NDA,220,NDA
610504,NDA,NDA,NDA,211,NDA
610506,7.9,NDA,NDA,440,77.4
610513,NDA,NDA,NDA,302,91.8
610515,NDA,NDA,NDA,363,NDA
610518,NDA,NDA,NDA,410,82
610520,NDA,NDA,NDA,609,NDA
610521,NDA,NDA,NDA,354,NDA
610523,NDA,NDA,NDA,431,NDA
610524,NDA,NDA,NDA,232,87.6
610529,NDA,NDA,NDA,558,93.3
610530,NDA,NDA,NDA,255,NDA
610532,NDA,NDA,NDA,970,NDA
610533,NDA,NDA,NDA,1001,NDA
610534,NDA,NDA,NDA,242,NDA
610535,NDA,NDA,NDA,48,40.9
610539,NDA,NDA,NDA,826,NDA
610541,NDA,NDA,NDA,860,NDA
610542,NDA,NDA,NDA,659,NDA
610543,NDA,NDA,NDA,581,85.6
610544,NDA,NDA,NDA,873,NDA
