School_ID,ISAT_Exceeding_Math,ISAT_Exceeding_Reading,ISAT_Value_Add_Math,ISAT_Value_Add_Read,ISAT_Value_Add_Color_Math,ISAT_Value_Add_Color_Read
609872,14.8,8.7,0.0,1.1,Yellow,Green
609873,3.9,8.8,-0.3,1.0,Yellow,Yellow
609874,32.8,25.5,-0.5,-0.1,Yellow,Yellow
609875,16.0,6.9,-0.2,-0.8,Yellow,Red
609876,16.2,9.2,0.5,1.0,Green,Green
609879,23.1,13.6,0.5,0.3,Green,Yellow
609880,93.6,93.6,0.2,-1.0,Yellow,Red
609881,6.8,10.9,1.0,1.7,Green,Green
609883,9.4,6.8,2.8,-0.5,Green,Yellow
609884,31.5,27.9,0.4,1.3,Yellow,Green
609885,3.3,0.5,0.4,-1.2,Yellow,Red
609887,22.0,15.7,-0.3,0.7,Yellow,Green
609888,29.4,16.0,0.4,-1.6,Yellow,Red
609891,2.2,1.1,-1.4,-0.2,Red,Yellow
609893,43.8,25.3,2.6,0.5,Green,Yellow
609894,7.7,9.5,-0.2,0.6,Yellow,Yellow
609895,24.2,23.2,0.1,0.9,Yellow,Green
609896,34.0,34.0,0.0,0.4,Yellow,Yellow
609897,9.8,5.6,1.1,-0.6,Green,Yellow
609898,8.9,9.6,-1.5,-0.7,Red,Red
609899,50.6,40.2,0.5,1.4,Green,Green
609900,10.1,3.8,0.9,0.9,Green,Green
609901,60.2,56.8,0.0,0.5,Yellow,Yellow
609902,18.2,12.6,-0.7,-0.3,Red,Yellow
609903,17.6,11.4,-0.7,-0.1,Red,Yellow
609904,16.1,8.0,1.9,0.4,Green,Yellow
609906,12.9,13.3,1.0,1.2,Green,Green
609907,13.3,7.7,2.0,1.0,Green,Green
609908,8.9,7.7,0.9,-0.4,Green,Yellow
609909,13.6,13.6,0.6,1.3,Yellow,Green
609910,21.0,14.2,1.1,0.8,Green,Green
609912,30.7,25.6,1.0,0.3,Green,Yellow
609913,9.8,8.6,-0.2,-0.3,Yellow,Yellow
609916,0.6,2.6,-1.0,-1.0,Red,Yellow
609917,12.4,7.8,-0.7,-1.7,Red,Red
609918,9.8,7.9,-0.2,0.1,Yellow,Yellow
609919,4.0,4.0,-1.3,-1.5,Red,Red
609920,8.0,6.6,-0.4,-0.6,Yellow,Yellow
609921,8.4,7.3,-0.1,0.9,Yellow,Yellow
609922,11.0,11.0,0.2,1.0,Yellow,Yellow
609924,25.2,14.1,1.4,0.1,Green,Yellow
609925,13.3,10.5,-0.3,-0.6,Yellow,Yellow
609926,55.1,50.2,0.8,1.4,Green,Green
609927,8.0,5.7,-1.1,-2.1,Red,Red
609928,3.6,1.4,-1.3,-1.3,Red,Red
609929,9.6,1.1,0.9,-0.9,Green,Red
609930,12.2,5.8,-2.1,-1.1,Red,Red
609932,50.0,13.0,,,NDA,NDA
609933,7.6,6.9,-0.5,0.0,Yellow,Yellow
609935,17.8,12.9,-0.6,0.9,Red,Green
609937,34.4,33.5,-0.1,0.2,Yellow,Yellow
609938,14.3,7.6,0.4,0.1,Green,Yellow
609939,7.6,5.6,0.2,0.2,Yellow,Yellow
609941,13.8,4.5,0.3,-1.3,Yellow,Red
609942,24.9,17.6,-0.8,-0.7,Red,Red
609943,13.5,8.5,0.4,-0.7,Yellow,Yellow
609944,22.0,17.7,-1.1,-1.5,Red,Red
609945,30.8,23.6,0.9,1.0,Green,Green
609947,20.8,11.1,1.7,-0.5,Green,Yellow
609949,26.1,19.4,0.5,0.9,Green,Green
609950,,,,,NDA,NDA
609951,24.8,14.4,0.0,-1.6,Yellow,Red
609952,23.2,20.2,-1.2,0.2,Red,Yellow
609954,24.2,19.5,1.5,2.1,Green,Green
609955,9.9,7.4,1.4,0.0,Green,Yellow
609956,22.1,18.8,-0.4,0.6,Yellow,Yellow
609958,24.0,18.1,0.6,1.7,Green,Green
609959,45.0,25.7,1.0,0.5,Green,Yellow
609960,19.3,15.6,-0.5,0.4,Red,Yellow
609961,14.7,9.4,0.9,0.5,Green,Yellow
609963,13.8,21.3,0.6,0.6,Yellow,Yellow
609964,20.1,6.1,1.0,-0.2,Green,Yellow
609966,10.1,5.8,0.5,0.2,Yellow,Yellow
609967,19.2,9.6,0.4,0.7,Yellow,Yellow
609968,10.4,11.0,-1.0,-0.9,Red,Red
609969,27.5,21.9,0.4,0.0,Yellow,Yellow
609971,13.8,7.7,1.2,0.4,Green,Yellow
609972,15.2,10.2,-0.3,0.3,Yellow,Yellow
609973,21.6,13.7,-0.3,1.2,Yellow,Green
609974,75.1,66.0,1.8,2.2,Green,Green
609975,11.9,10.0,0.0,0.9,Yellow,Green
609976,28.6,23.2,0.3,0.1,Yellow,Yellow
609977,17.5,22.2,0.1,0.0,Yellow,Yellow
609978,9.4,4.2,-0.5,-1.0,Yellow,Red
609979,45.1,29.9,-0.3,0.6,Yellow,Green
609981,4.9,6.7,-0.2,-1.6,Yellow,Red
609983,12.6,6.8,-0.1,0.5,Yellow,Yellow
609985,25.6,19.2,0.5,0.1,Yellow,Yellow
609986,4.8,2.6,-0.1,-0.6,Yellow,Yellow
609987,8.5,1.0,0.9,-2.3,Green,Red
609988,12.5,12.3,0.6,1.0,Yellow,Green
609989,30.0,10.3,2.1,-0.8,Green,Yellow
609990,54.2,48.8,1.0,1.5,Green,Green
609991,4.6,3.8,0.1,0.0,Yellow,Yellow
609993,11.1,9.6,0.9,2.4,Green,Green
609994,19.3,15.3,0.5,-0.1,Green,Yellow
609995,29.5,24.7,-0.1,0.0,Yellow,Yellow
609996,16.7,11.5,-0.8,0.0,Red,Yellow
609997,5.0,3.0,-0.8,-2.3,Red,Red
610000,20.6,9.3,0.8,-0.8,Green,Red
610002,23.4,14.0,0.7,0.0,Green,Yellow
610003,20.6,15.6,-0.5,-1.1,Red,Red
610004,9.7,8.1,-1.8,-1.7,Red,Red
