School_ID,Name_of_School,School_Type,Network_Manager,Collaborative_Name,Track_Schedule,General_Services_Route,Community_Area_Number
610199,Johnnie Colemon Elementary Academy,ES,Lake Calumet Elementary Network,FAR SOUTH SIDE COLLABORATIVE,Track_E,49,53
610200,James N Thorp Elementary School,ES,Skyway Elementary Network,SOUTH SIDE COLLABORATIVE,Standard,47,46
610201,Ole A Thorp Elementary Scholastic Academy,ES,O'Hare Elementary Network,NORTH-NORTHWEST SIDE COLLABORATIVE,Standard,30,17
610202,George W Tilton Elementary School,ES,Garfield-Humboldt Elementary Network,WEST SIDE COLLABORATIVE,Track_E,36,26
610203,Enrico Tonti Elementary School,ES,Midway Elementary Network,SOUTHWEST SIDE COLLABORATIVE,Track_E,44,63
610205,Lyman Trumbull Elementary School,ES,Ravenswood-Ridge Elementary Network,NORTH-NORTHWEST SIDE COLLABORATIVE,Standard,32,77
610206,Mark Twain Elementary School,ES,Midway Elementary Network,SOUTHWEST SIDE COLLABORATIVE,Standard,44,56
610207,John H Vanderpoel Elementary Magnet School,ES,Rock Island Elementary Network,FAR SOUTH SIDE COLLABORATIVE,Standard,49,72
610208,Mildred I Lavizzo Elementary School,ES,Rock Island Elementary Network,FAR SOUTH SIDE COLLABORATIVE,Track_E,48,49
610209,Alessandro Volta Elementary School,ES,O'Hare Elementary Network,NORTH-NORTHWEST SIDE COLLABORATIVE,Track_E,31,14
610210,Alexander von Humboldt Elementary School,ES,Fulton Elementary Network,WEST SIDE COLLABORATIVE,Standard,34,24
610212,Albany Park Multicultural Academy,MS,O'Hare Elementary Network,NORTH-NORTHWEST SIDE COLLABORATIVE,Standard,31,14
610213,James Wadsworth Elementary School,ES,Burnham Park Elementary Network,SOUTH SIDE COLLABORATIVE,Standard,46,42
610215,Francisco I Madero Middle School,MS,Pilsen-Little Village Elementary Network,WEST SIDE COLLABORATIVE,Track_E,37,30
610216,John A Walsh Elementary School,ES,Pilsen-Little Village Elementary Network,WEST SIDE COLLABORATIVE,Track_E,39,31
610217,James Ward Elementary School,ES,Pershing Elementary Network,SOUTHWEST SIDE COLLABORATIVE,Standard,40,34
610218,Joseph Warren Elementary School,ES,Skyway Elementary Network,SOUTH SIDE COLLABORATIVE,Standard,47,48
610219,George Washington Elementary School,ES,Lake Calumet Elementary Network,FAR SOUTH SIDE COLLABORATIVE,Standard,47,52
610220,Thomas J Waters Elementary School,ES,Ravenswood-Ridge Elementary Network,NORTH-NORTHWEST SIDE COLLABORATIVE,Standard,31,4
610221,Daniel Webster Elementary School,ES,Garfield-Humboldt Elementary Network,WEST SIDE COLLABORATIVE,Track_E,36,26
610223,Daniel S Wentworth Elementary School,ES,Englewood-Gresham Elementary Network,SOUTHWEST SIDE COLLABORATIVE,Track_E,45,68
610224,West Pullman Elementary School,ES,Lake Calumet Elementary Network,FAR SOUTH SIDE COLLABORATIVE,Track_E,48,53
610225,John Whistler Elementary School,ES,Lake Calumet Elementary Network,FAR SOUTH SIDE COLLABORATIVE,Track_E,49,53
610226,Socorro Sandoval Elementary School,ES,Midway Elementary Network,SOUTHWEST SIDE COLLABORATIVE,Track_E,44,63
610227,Eli Whitney Elementary School,ES,Pilsen-Little Village Elementary Network,WEST SIDE COLLABORATIVE,Track_E,37,30
610228,John Greenleaf Whittier Elementary School,ES,Pilsen-Little Village Elementary Network,WEST SIDE COLLABORATIVE,Standard,39,31
610229,A.N. Pritzker School,ES,Fulton Elementary Network,WEST SIDE COLLABORATIVE,Standard,35,24
610230,Wildwood Elementary School,ES,O'Hare Elementary Network,NORTH-NORTHWEST SIDE COLLABORATIVE,Standard,30,12
610231,National Teachers Elementary Academy,ES,AUSL Schools,SOUTH SIDE COLLABORATIVE,Track_E,40,33
610232,Williams Multiplex Elementary School,ES,Burnham Park Elementary Network,SOUTH SIDE COLLABORATIVE,Track_E,40,35
610233,Elihu Yale Elementary School,ES,Skyway Elementary Network,SOUTH SIDE COLLABORATIVE,Track_E,45,69
610234,Richard Yates Elementary School,ES,Fullerton Elementary Network,NORTH-NORTHWEST SIDE COLLABORATIVE,Track_E,34,22
610235,Ella Flagg Young Elementary School,ES,Austin-North Lawndale Elementary Network,WEST SIDE COLLABORATIVE,Track_E,36,25
610237,Ludwig Van Beethoven Elementary School,ES,Burnham Park Elementary Network,SOUTH SIDE COLLABORATIVE,Track_E,42,38
610238,Carrie Jacobs Bond Elementary School,ES,Englewood-Gresham Elementary Network,SOUTHWEST SIDE COLLABORATIVE,Track_E,45,68
610239,Richard J Daley Elementary Academy,ES,Pershing Elementary Network,SOUTHWEST SIDE COLLABORATIVE,Track_E,42,61
610240,Matthew A Henson Elementary School,ES,Austin-North Lawndale Elementary Network,WEST SIDE COLLABORATIVE,Track_E,36,29
610241,Guglielmo Marconi Elementary Community Academy,ES,Garfield-Humboldt Elementary Network,WEST SIDE COLLABORATIVE,Standard,36,26
610242,Joseph Brennemann Elementary School,ES,Ravenswood-Ridge Elementary Network,NORTH-NORTHWEST SIDE COLLABORATIVE,Standard,32,3
610243,John Calhoun North Elementary School,ES,Garfield-Humboldt Elementary Network,WEST SIDE COLLABORATIVE,Track_E,38,27
610244,Michele Clark Academic Prep Magnet High School,HS,West Side High School Network,WEST SIDE COLLABORATIVE,Standard,36,25
610245,Frederick A Douglass Academy High School,HS,West Side High School Network,WEST SIDE COLLABORATIVE,Standard,36,25
610246,Edward Beasley Elementary Magnet Academic Center,ES,Burnham Park Elementary Network,SOUTH SIDE COLLABORATIVE,Standard,42,40
610248,Chicago Academy Elementary School,ES,AUSL Schools,NORTH-NORTHWEST SIDE COLLABORATIVE,Standard,30,17
610249,Talman Elementary School,ES,Midway Elementary Network,SOUTHWEST SIDE COLLABORATIVE,Standard,43,63
610250,Rueben Salazar Elementary Bilingual Center,ES,Fullerton Elementary Network,NORTH-NORTHWEST SIDE COLLABORATIVE,Track_E,33,8
610251,Willa Cather Elementary School,ES,Garfield-Humboldt Elementary Network,WEST SIDE COLLABORATIVE,Track_E,34,27
610252,Robert Nathaniel Dett Elementary School,ES,Fulton Elementary Network,WEST SIDE COLLABORATIVE,Track_E,35,28
610253,Julia C Lathrop Elementary School,ES,Austin-North Lawndale Elementary Network,WEST SIDE COLLABORATIVE,Standard,37,29
610254,Dvorak Technology Academy,ES,Austin-North Lawndale Elementary Network,WEST SIDE COLLABORATIVE,Standard,37,29
610256,Jackie Robinson Elementary School,ES,Burnham Park Elementary Network,SOUTH SIDE COLLABORATIVE,Standard,40,36
610257,Morton School of Excellence,ES,AUSL Schools,WEST SIDE COLLABORATIVE,Track_E,34,23
610258,Florence B Price Elementary School,ES,Burnham Park Elementary Network,SOUTH SIDE COLLABORATIVE,Standard,40,39
610263,John Foster Dulles Elementary School,ES,AUSL Schools,SOUTH SIDE COLLABORATIVE,Track_E,42,69
610264,Walter Reed Elementary School,ES,Englewood-Gresham Elementary Network,SOUTHWEST SIDE COLLABORATIVE,Standard,45,68
610265,Benjamin Banneker Elementary School,ES,Englewood-Gresham Elementary Network,SOUTHWEST SIDE COLLABORATIVE,Track_E,45,68
610266,Dumas Technology Academy,ES,Burnham Park Elementary Network,SOUTH SIDE COLLABORATIVE,Standard,46,42
610268,Arthur R Ashe Elementary School,ES,Skyway Elementary Network,SOUTH SIDE COLLABORATIVE,Track_E,45,44
